region_id,img_x,img_y,name,displayName
region_001,460,2519,,
region_002,1659,693,,
region_003,958,1524,,
region_004,1417,2452,,
region_005,1693,1663,,
region_006,2279,1291,,
region_007,892,2628,,
region_008,3835,2537,,
region_009,1078,2182,,
region_010,1816,1165,,
region_011,2891,1847,,
region_012,2242,1948,,
region_013,2109,1607,,
region_014,1115,3004,,
region_015,3263,2066,,
region_016,1358,1710,,
region_017,2643,938,,
region_018,2460,734,,
region_019,3230,1642,,
region_020,3195,758,,
region_021,2658,1986,,
region_022,2146,925,,
region_023,3214,1226,,
region_024,3657,931,,
region_025,3655,1958,,
region_026,3747,2984,,
region_027,3444,861,,
region_028,2879,1247,,
region_029,3887,1043,,
region_030,2580,1449,,
region_031,3201,1003,,
region_032,4173,949,,
region_033,3084,1548,,
region_034,3633,1171,,
region_035,2758,1434,,
region_036,3453,1319,,
region_037,3090,518,,
region_038,1752,2035,,
region_039,3447,1700,,
region_040,3319,414,,
region_041,3450,599,,
region_042,3351,1886,,
region_043,3612,1712,,
region_044,3514,2241,,
region_045,3028,1269,,
region_046,2658,1167,,
region_047,3803,1498,,
region_048,3555,2408,,
region_049,2093,2141,,
region_050,3617,562,,
region_051,3792,662,,
region_052,1522,2035,,
region_053,2547,1802,,
region_054,3553,1502,,
region_056,1910,2191,,
region_057,3924,830,,
region_059,3633,1343,,
region_061,1333,2042,,
region_062,1363,2997,,
