region_id,vb_x,vb_y,bbox_area,name,displayName
region_000,367.4,462.3,150307,,
region_001,78.7,352.8,60886,,
region_002,709.9,464.2,48350,,
region_003,114.8,176.8,25816,奥多摩町,
region_004,291.6,329.6,21631,八王子市,
region_005,759.9,159.5,29808,,
region_006,152.2,268.2,12189,檜原村,
region_007,256.9,195.1,12108,青梅市,
region_008,97.1,503.4,7219,,
region_009,243.5,262.0,11896,あきる野市,
region_010,401.7,408.5,19217,町田市,
region_011,555.9,348.4,6125,世田谷区,
region_012,678.4,218.1,6454,足立区,
region_013,625.3,416.4,8713,大田区,
region_014,543.3,247.6,5231,練馬区,
region_015,739.3,299.1,6351,江戸川区,
region_016,548.5,295.4,3350,杉並区,
region_017,725.0,242.6,4389,葛飾区,
region_018,588.4,224.1,3982,板橋区,
region_019,441.1,320.4,3048,府中市,
region_020,245.1,237.2,4510,日の出町,
region_021,376.3,326.1,2761,日野市,
region_022,381.0,278.5,3559,立川市,
region_023,697.5,315.4,2022,江東区,
region_024,408.6,357.5,2544,多摩市,
region_025,493.1,332.7,2345,調布市,
region_026,627.9,230.7,3366,北区,
region_027,440.3,266.7,2260,小平市,
region_028,634.7,335.7,1957,港区,
region_029,613.1,291.2,2361,新宿区,
region_030,625.0,374.8,1830,品川区,
region_031,350.8,284.5,1415,昭島市,
region_032,448.8,355.1,1780,稲城市,
region_033,432.0,236.9,1648,東村山市,
region_034,338.1,222.1,2052,瑞穂町,
region_035,489.4,259.3,1677,西東京市,
region_036,499.3,305.8,2018,三鷹市,
region_037,365.1,245.3,1448,武蔵村山市,
region_038,577.7,282.2,2524,中野区,
region_039,596.8,357.7,2141,目黒区,
region_040,602.7,321.8,1891,渋谷区,
region_041,695.1,280.0,1938,墨田区,
region_042,397.7,245.1,1347,東大和市,
region_043,468.6,241.2,1515,東久留米市,
region_044,614.8,263.0,1425,豊島区,
region_045,97.1,502.1,8836,,
region_046,461.9,291.2,946,小金井市,
region_047,642.1,276.3,1133,文京区,
region_048,648.0,304.3,1179,千代田区,
region_049,424.0,286.7,1274,国分寺市,
region_050,671.6,277.5,1086,台東区,
region_051,312.2,231.8,978,羽村市,
region_052,667.6,254.5,1152,荒川区,
region_053,664.8,318.2,975,中央区,
region_054,328.7,258.3,1119,福生市,
region_055,769.3,24.7,790,,
region_056,407.0,305.1,855,国立市,
region_057,499.7,284.7,1070,武蔵野市,
region_058,469.3,216.7,1365,清瀬市,
region_059,512.6,353.0,553,狛江市,
region_060,623.3,498.9,648,,
region_061,650.8,386.0,431,品川区（飛び地）,
region_062,775.2,542.9,314,,
region_063,650.3,482.0,447,,
region_064,701.8,343.1,366,江東区（飛び地）,
